T0,Controller,RMSE_T4,IAE,Objective,Objective_Scaled,TransientLength,IAE_FirstN,ISE_FirstN,ITAE_FirstN,RMSE_FirstN,PeakDeviation_FirstN,Overshoot_FirstN,Undershoot_FirstN,TVu_FirstN,DeltaUMax_FirstN,ControlEnergy_FirstN
45,Koopman,3.82447365349923,567.880743695014,1985102.47199652,1113.31393042974,100,495.062873900293,4355.18596454052,13623.5741348973,6.59938327765596,18.6471096774194,0,18.6471096774194,49.752273438511,6.97428448951977,921745.219996411
45,Strejc,4.15528835738763,633.62071085044,1888077.71164833,1256.32076626406,100,544.622991202346,5134.52959522825,15022.9876246334,7.16556319854082,18.9403648093842,0,18.9403648093842,53.9005448559835,6.2572823356257,887213.032680159
50,Koopman,2.71337257467821,329.879293841642,1690532.98377747,589.787427986017,100,306.155751319648,2202.40341537083,6282.32618416422,4.69297710986409,14.1016551319648,0.121218768328447,14.1016551319648,55.8428070142925,3.25779015351868,783003.957009607
50,Strejc,2.30299111937314,321.061557771261,1630781.04913658,394.685937828051,100,210.458768328446,1521.88336101974,4129.29260997066,3.90113234974121,13.6617724340176,0,13.6617724340176,137.156986431486,9.27428773540781,625664.20969839
55,Koopman,2.0039758038109,272.464753079179,1603271.01921046,365.858046432367,100,235.829553079179,1192.24579787528,5105.77496070381,3.45289124919289,9.11631788856305,0.707729032258065,9.11631788856305,79.3053316672867,5.95763388766852,724463.474351428
55,Strejc,1.87237891626723,296.91300175953,1641145.31895341,316.177205847665,100,217.790146627566,1016.15432532173,4818.73542521992,3.18771756170732,8.67643519061583,0,8.67643519061583,117.073303666738,8.57888501251209,700699.774865914
58,Koopman,1.25898222114287,172.002181818181,1604496.65085908,185.066036655864,100,140.263331378299,466.771551867768,2759.87607272726,2.16048964789875,5.89051143695015,0.121218768328447,5.89051143695015,72.1625091243862,4.82043203770458,680035.465496355
58,Strejc,1.47123734034181,256.003910850439,1620447.44341797,225.116546378914,100,182.746158357771,617.597560588024,4605.39231671553,2.48515102275098,6.03713900293255,0,6.03713900293255,132.068333739619,14.5396157717157,692791.925879935
60,Koopman,0.69264460772452,128.336293255131,1569059.46309363,74.8414931505169,100,73.5086217008794,124.627962803347,1882.95829912022,1.11636894798873,3.69109794721408,0,3.69109794721408,99.9820059829341,6.30796425610282,588920.282959871
60,Strejc,0.722649758905081,147.939394721407,1453811.0644882,59.0775682766353,100,64.1244574780056,113.014267014697,1643.9553665689,1.06308168554771,3.69109794721408,0,3.69109794721408,118.901777959544,10.515981056758,511988.410033608
62,Koopman,0.597319496666829,159.421337243401,1654533.70456925,73.1875907091819,100,59.7198052785921,50.3251064467622,2183.62452551318,0.709401906162946,1.93156715542521,0.267846334310853,1.93156715542521,111.772598357877,5.40522820274835,573527.731861595
62,Strejc,0.797290039535968,225.071319648093,1597844.84123989,74.6053108000591,100,85.2388269794719,85.7507188855955,3384.57120234603,0.926016840481832,2.22482228739003,0,2.22482228739003,127.55607892256,5.85942750277775,552725.711502082
66,Koopman,0.593596909086971,134.624799999999,1378790.84173044,64.6296782221667,100,58.6944093841642,64.3119682728562,1720.2558404692,0.801947431399691,2.17400469208211,2.17400469208211,0.318663929618765,164.098938505322,33.0142089587216,355392.836849569
66,Strejc,0.690457868135078,182.049581231671,1399072.29174707,64.8604387849784,100,56.1467073313783,55.6540066110198,2298.04692551319,0.746016129926289,2.46725982404693,2.46725982404693,1.05180175953079,178.496910660309,9.53454869475409,380074.708778069
68,Koopman,0.921870066884655,203.834620527859,1510314.80873812,141.716912864297,100,78.2250017595307,158.01377407088,1985.41036480938,1.25703529811569,4.08016304985338,4.08016304985338,1.05180175953079,232.279830513389,37.5825933220172,364244.654478795
68,Strejc,1.00886314531168,248.825982404692,1416322.17113075,143.655714354758,100,83.480293255132,148.82806565764,2578.31897478006,1.21995108778032,4.08016304985338,4.08016304985338,1.1984293255132,162.605205717234,8.97009954350165,319950.036374636
