Controller,Total_RMSE,Total_IAE,Total_Objective_Scaled,Total_IAE_FirstN,Total_ISE_FirstN,Total_ITAE_FirstN,Total_RMSE_FirstN,Total_PeakDeviation_FirstN,Total_Overshoot_FirstN,Total_Undershoot_FirstN,Total_TVu_FirstN,Total_DeltaUMax_FirstN,Total_ControlEnergy_FirstN
Koopman,1.57577941668677,246.055502932551,326.050139556269,180.932418475073,1076.73569265603,4442.97504780058,2.59881185853484,7.45405337243402,0.934022580645163,6.84359061583578,108.1495368255,12.9150169135002,623916.702875454
Strejc,1.6276445681572,288.935682404692,316.81243606689,180.576043695015,1086.67648754084,4810.16255571846,2.58682873455956,7.47238181818182,0.818427859237538,6.93523284457478,128.469892744184,9.1912659566316,583888.476226599
