Controller,Total_RMSE,Total_IAE,Total_Objective_Scaled,Total_IAE_FirstN,Total_ISE_FirstN,Total_ITAE_FirstN,Total_RMSE_FirstN,Total_PeakDeviation_FirstN,Total_Overshoot_FirstN,Total_Undershoot_FirstN,Total_TVu_FirstN,Total_DeltaUMax_FirstN,Total_ControlEnergy_FirstN
Koopman,12.6062353334942,1968.44402346041,2608.40111645015,1447.45934780059,8613.88554124825,35543.8003824046,20.7904948682788,59.6324269794721,7.4721806451613,54.7487249266862,865.196294603998,103.320135308002,4991333.62300363
Strejc,13.0211565452576,2311.48545923753,2534.49948853512,1444.60834956012,8693.41190032669,38481.3004457477,20.6946298764765,59.7790545454545,6.5474228739003,55.4818627565982,1027.75914195347,73.5301276530528,4671107.80981279
