T0,Controller,RMSE_T4,IAE,Objective,Objective_Scaled,SettlingTime,SettlingIndex,IAE_Transient,ISE_Transient,ITAE_Transient,RMSE_Transient,PeakDeviation,Overshoot,Undershoot,TVu_Transient,DeltaUMax_Transient,ControlEnergy_Transient,FixedHorizon,IAE_Fixed,ISE_Fixed,ITAE_Fixed,RMSE_Fixed,PeakDeviation_Fixed,TVu_Fixed,DeltaUMax_Fixed,ControlEnergy_Fixed
45,Koopman,3.82447365349923,567.880743695014,1985102.47199652,1113.31393042974,101,102,495.846829325513,4355.50400741643,13702.288341349,6.53460172317742,18.6471096774194,-0.318663929618765,18.6471096774194,51.808275909715,6.97428448951977,932355.959028285,100,495.062873900293,4355.18596454052,13623.5741348973,6.59938327765596,18.6471096774194,49.752273438511,6.97428448951977,921745.219996411
45,Strejc,4.15528835738763,633.62071085044,1888077.71164833,1256.32076626406,206,207,594.504991202346,5160.78978051671,22528.0573970674,4.99313044058525,18.9403648093842,0.267846334310853,18.9403648093842,209.607587568647,8.1081413834247,1398827.55824127,100,544.622991202346,5134.52959522825,15022.9876246334,7.16556319854082,18.9403648093842,53.9005448559835,6.2572823356257,887213.032680159
50,Koopman,2.71337257467821,329.879293841642,1690532.98377747,589.787427986017,84,85,304.79904398827,2202.16297817636,6154.34577126099,5.08997050514552,14.1016551319648,-0.0254087976539594,14.1016551319648,43.8312652827059,3.25779015351868,715447.806320676,100,306.155751319648,2202.40341537083,6282.32618416422,4.69297710986409,14.1016551319648,55.8428070142925,3.25779015351868,783003.957009607
50,Strejc,2.30299111937314,321.061557771261,1630781.04913658,394.685937828051,161,162,247.811239882698,1545.97212714057,8933.26228856302,3.08918076872419,13.6617724340176,-0.0254087976539594,13.6617724340176,198.16572558375,9.27428773540781,937966.278749669,100,210.458768328446,1521.88336101974,4129.29260997066,3.90113234974121,13.6617724340176,137.156986431486,9.27428773540781,625664.20969839
55,Koopman,2.0039758038109,272.464753079179,1603271.01921046,365.858046432367,69,70,228.464832844575,1189.91728027722,4463.12177712609,4.12296231970103,9.11631788856305,-0.318663929618765,9.11631788856305,48.2292839973794,5.95763388766852,604575.266591445,100,235.829553079179,1192.24579787528,5105.77496070381,3.45289124919289,9.11631788856305,79.3053316672867,5.95763388766852,724463.474351428
55,Strejc,1.87237891626723,296.91300175953,1641145.31895341,316.177205847665,65,66,208.861731378299,1013.37909426824,4075.6162404692,3.91844723085995,8.67643519061583,-0.318663929618765,8.67643519061583,87.597365292486,8.57888501251209,550088.264433516,100,217.790146627566,1016.15432532173,4818.73542521992,3.18771756170732,8.67643519061583,117.073303666738,8.57888501251209,700699.774865914
58,Koopman,1.25898222114287,172.002181818181,1604496.65085908,185.066036655864,59,60,135.63793313783,465.966615609098,2394.46800234604,2.78677416741143,5.89051143695015,0.121218768328447,5.89051143695015,48.3649930335597,4.82043203770458,498977.646812918,100,140.263331378299,466.771551867768,2759.87607272726,2.16048964789875,5.89051143695015,72.1625091243862,4.82043203770458,680035.465496355
58,Strejc,1.47123734034181,256.003910850439,1620447.44341797,225.116546378914,150,151,208.088927859237,631.193288378422,7773.38513196478,2.04452635162918,6.03713900293255,-0.0254087976539594,6.03713900293255,197.166913290441,14.5396157717157,939753.001775037,100,182.746158357771,617.597560588024,4605.39231671553,2.48515102275098,6.03713900293255,132.068333739619,14.5396157717157,692791.925879935
60,Koopman,0.69264460772452,128.336293255131,1569059.46309363,74.8414931505169,51,52,62.0250697947212,121.280431842027,1004.80643519061,1.52719219385186,3.69109794721408,-0.172036363636359,3.69109794721408,64.5356106749279,6.30796425610282,356556.790014216,100,73.5086217008794,124.627962803347,1882.95829912022,1.11636894798873,3.69109794721408,99.9820059829341,6.30796425610282,588920.282959871
60,Strejc,0.722649758905081,147.939394721407,1453811.0644882,59.0775682766353,54,55,53.1570146627565,109.884523443252,782.013589442812,1.41347105603226,3.69109794721408,-0.172036363636359,3.69109794721408,80.9662595608979,10.515981056758,314146.412881385,100,64.1244574780056,113.014267014697,1643.9553665689,1.06308168554771,3.69109794721408,118.901777959544,10.515981056758,511988.410033608
