Controller,Sum_SettlingTime,Sum_RMSE_Transient,Sum_IAE_Transient,Sum_ISE_Transient,Sum_ITAE_Transient,Sum_ControlEnergy_Transient
Koopman,322,12.3132292635978,567.524408211143,2020.43296978332,10652.3656950147,1981927.44123587
Strejc,592,11.5168205107952,763.191880351905,2110.16978244736,41925.5199624632,3309019.84698729
