T0,RMSE_K,IAE_K,Obj_K,RMSE_S,IAE_S,Obj_S
45,2.58574381180793,378.316611885493,524.245837439703,2.67196516843295,420.332034583019,535.763366779524
50,1.24429188942622,202.019537533982,142.128427604747,1.32613733080158,235.671230892875,144.479279694843
55,0.816451139847044,162.53065365587,67.562637572513,0.895940253036428,192.250291457957,68.591292040238
58,0.404551777679624,118.229059440688,16.8392018035042,0.50127929036982,146.046151005025,21.4107613511516
60,0.471948130990678,137.816057790719,22.9772350616658,0.585636594705116,173.193736888257,29.2193478023172
62,0.73265008906626,175.691552582555,54.8098848064188,0.871359351158637,221.538666201317,64.7771791782091
66,2.26517706474245,419.677769096718,362.054422817942,2.23175383015674,445.766264573335,389.53140087927
68,3.6934846963686,703.661027328334,921.497797923074,4.40112095711066,875.313956743346,1386.72457911003
-1,1.5267873249911,287.242783664295,264.014430628696,1.68564909697149,338.764041543141,330.062150854448
-2,12.2142985999288,2297.94226931436,2112.11544502957,13.4851927757719,2710.11233234513,2640.49720683558
